Name,Price,Rating
Lenovo ThinkPad L13 Gen 2 i7-1185G7 @ 3.00GHz 16GB/512GB Win 10 Pro,$398.99,No rating
Dell Precision 3551 Laptop Light Gaming PC Core i5 16GB RAM 256GB SSD Windows 11,$259.99,No rating
Apolosign NJP1561P Space Grey 15.6 Inch Display Windows 11 Home Laptop 512GB,$107.99,No rating
"Dell Latitude Laptop PC 14"" FHD Core i5 16GB RAM 256GB SSD Windows 11 Pro HDMI",$249.99,No rating
"Dell Latitude 7390 Laptop PC 13"" Intel Core i5 8GB RAM 256GB SSD Windows 11 HDMI",$199.99,No rating
"Acer Nitro 5 - 15.6"" Laptop Intel Core i7-12650H 2.20GHz 16GB RAM 1TB SSD W11H",$649.99,No rating
Dell Latitude 5300 13” Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 11,$209.99,No rating
"Dell Chromebook 11.6"" Laptop Computer Intel Celeron 4GB Ram 16GB SSD Chrome OS",$52.24,No rating
"Lenovo ThinkPad 14"" Laptop PC Computer Core i5 8GB RAM 256GB SSD Windows 10 WiFi",$144.99,No rating
"Lenovo Yoga L390 2-in-1 Touch Laptop 13.3"" Core i3 8GB RAM 256GB SSD Windows 11",$149.99,No rating
"~OVERSTOCK EVENT~ 15.6"" HP ProBook Laptop PC: Radeon R5! 16GB RAM! 256GB SSD!",$224.99,No rating
"~OVERSTOCK SALE~ 14"" HP EliteBook Laptop PC: Intel i5! 8GB RAM! 500GB HDD! Win10",$144.95,No rating
"Lenovo Laptop Computer ThinkPad 11e 11.6"" Windows 10 Celeron 4GB RAM 128GB SSD",$89.99,No rating
"2023 HP 17-cn3053cl 17.3"" IPS FHD Laptop Intel Core i5-1335U 12GB 512GB SSD W11",$349.00,No rating
"14"" Dell Gaming Laptop PC: Intel i7 Quad Core! 32GB RAM! 512GB SSD! Windows 11!",$349.95,No rating
"HP Elitebook 840 G5 14"" Laptop Intel Core i5-8350U (1.70GHz) 16GB 256GB SSD W11P",$204.99,No rating
"Dell 14"" FHD 7490 16gb DDR4 NEW 512gb SSD Core i5 8th gen Win 11 pro Laptop WIFI",$229.99,No rating
"Dell Latitude Touchscreen 11"" Laptop PC Computer 8GB RAM 128GB SSD Windows 10",$114.99,No rating
"~OVERSTOCK SALE~ 13.3"" TouchScreen HP EliteBook: Intel i7! 16GB RAM! 256GB SSD!",$249.95,No rating
"15.6"" Dell Latitude Laptop PC: Intel i7 Quad Core! 32GB RAM! 1TB SSD! Windows 11",$369.95,No rating
"Dell Chromebook 3180 Laptop 11.6"" Celeron 4GB RAM 32GB SSD Chrome OS WiFi HDMI",$54.99,5.0 out of 5 stars.
"~OVERSTOCK~ 14"" Dell Latitude Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro! FHD!",$174.99,No rating
Dell Latitude 5420 Intel i71185G7 32GB RAM 512GB SSD 14 Inch FHD Win 11 Pro,$369.99,No rating
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 8GB 128GB SSD Webcam Win11 Home Red",$187.06,No rating
Dell Latitude 7400 14 FHD Touch Intel i7-8665U 32GB 512GB SSD Win 11 Pro Laptop,$337.99,5.0 out of 5 stars.
